Instance Name,URL,Institution,Keywords
AB-OpenLab,http://ab-openlab.csir.res.in/frog/,[FROG stands for F inge R printing O ntology of G enomic variations. FROG fingerprints have been devised to capture genomic variations at various levels.](https://galaxyproject.org/use/ab-openlab/),Genomics
ABiMS,http://galaxy.sb-roscoff.fr/,[Analysis and bioinformatics for Marine Science.](https://galaxyproject.org/use/abims/),
ABiMS-Tools,http://galaxy3.sb-roscoff.fr/,[Hosts tools/resources developed at the Station Biologique de Roscoff in collaboration with ABiMS .](https://galaxyproject.org/use/abims-tools/),"Tool Publishing, Tools"
AGEseq @ AspenDB,http://aspendb.uga.edu:8085/,[This site provides a user-friendly interface for AGEseq (Analysis of Genome Editing by Sequencing) in a Galaxy instance.](https://galaxyproject.org/use/ageseq-aspendb/),
ANASTASIA,http://motherbox.chemeng.ntua.gr/anastasia_dev/,[A utomated N ucleotide A minoacid S equences T ranslational pl A tform for S ystemic I nterpretation and A nalysis](https://galaxyproject.org/use/anastasia/),
APOSTL,http://apostl.moffitt.org/,"[Automated Processing of SAINT Templated Layouts (APOSTL) is a freely available software suite and analysis pipeline for reproducible, interactive analysis of AP-MS data.](https://galaxyproject.org/use/apostl/)",
ARGA,http://mem.rcees.ac.cn:8083/,[Antibiotic Resistance Gene Analyzer](https://galaxyproject.org/use/arga/),
ARGs-OAP,http://smile.hku.hk/SARGs,[Fast annotation and classification of antibiotic resistance gene-like sequences from metagenomic data.](https://galaxyproject.org/use/args-oap/),Genomics
ARIAweb,https://ariaweb.pasteur.fr/,[Automated NOE assignment and NMR structure calculation](https://galaxyproject.org/use/ariaweb/),
ARIES,https://w3.iss.it/site/aries/,"[Analysis of genomic data in the field of public health and food safety, with the aim of deploying a comprehensive bioinformatics approach to the study of food-borne zoonoses and infectious diseases at the human and animal interface.](https://galaxyproject.org/use/aries/)",Genomics
BF2I-MAP,http://bf2i-galaxy.insa-lyon.fr:8080/,"[Locally developed as well as standard tools are available on a 16-core server with 32GB memory, accessible to all users, and located in the BF2I lab.](https://galaxyproject.org/use/bf2i-map/)","Tool Publishing, Tools"
BioBix,http://galaxy.ugent.be/,[A general genomics server. Includes the PROTEOFORMER pipeline tools.](https://galaxyproject.org/use/biobix/),"Genomics, Tool Publishing, Tools"
BioCiphers Lab Galaxy,http://avispa.biociphers.org/,[BCL Galaxy gives a user friendly interface for analysis tools developed by the BioCiphers Lab at the University of Pennsylvania.](https://galaxyproject.org/use/biociphers-lab-galaxy/),"Tool Publishing, Tools"
BioCompute Object Galaxy,https://galaxy.aws.biochemistry.gwu.edu/,"[BioCompute Objects is a standard for communication of High-throughput Sequencing (HTS) analysis results, data set creation and curation, and bioinformatics verification protocols.](https://galaxyproject.org/use/biocompute-object/)",
BioDivine Toolset,https://biodivine-vm.fi.muni.cz/galaxy/,[Systems biology tools implemented by the Sybila team.](https://galaxyproject.org/use/biodivine/),"Tool Publishing, Tools"
BioMaS,http://galaxy.cloud.ba.infn.it:8080/,[Taxonomic studies of environmental microbial communities](https://galaxyproject.org/use/biomas/),
Biomina,http://143.169.238.104/galaxy/,"[A general purpose Galaxy instance that includes most standard tools for DNA/RNA sequencing, plus extra tools for panel resequencing, variant annotation and some tools for Illumina SNParray analysis.](https://galaxyproject.org/use/biomina/)","Tool Publishing, Tools"
BitLAB,https://pistacho.ac.uma.es/galaxy-bitlab,[Detailed analysis of metagenomes.](https://galaxyproject.org/use/bitlab/),
BRIDGE,https://galaxy-compchem.ilifu.ac.za/,"[Prepare, simulate and analyse and visualise molecular simulations, especially molecular dynamics and free energies.](https://galaxyproject.org/use/bridge/)",
CAFU,http://omicstudio.cloud:4001/,[A Galaxy framework for exploring unmapped RNA-Seq data](https://galaxyproject.org/use/cafu/),
CBiB Galaxy,http://services.cbib.u-bordeaux2.fr/galaxy/,[A general purpose Galaxy instance that includes EMBOSS (a software analysis package for molecular biology) and fibronectin (diversity analysis of synthetic libraries of a Fibronectin domain).](https://galaxyproject.org/use/cbib-galaxy/),Domain
CellOrganizer for Galaxy,http://galaxy3.compbio.cs.cmu.edu:9001/,[Create generative models of the spatial organization of cells from microscope images and automatically provide geometries for spatial simulations of cell processes and behaviors](https://galaxyproject.org/use/cell-organizer/),Scope
Center for Phage Technology (CPT),https://cpt.tamu.edu/galaxy-pub/,[Phage biology and automated annotation.](https://galaxyproject.org/use/center-for-phage-technology-cpt/),
ChemFlow,https://vm-chemflow-francegrille.eu/,[Chemometrics without programming: infrared spectrometry on a Galaxy platform.](https://galaxyproject.org/use/chemflow/),
Chemical Annotation Retrieval Toolkit (CART),http://cart.embl.de/,[Retrieves annotations on biological effects of chemicals and determines which ones are enriched.](https://galaxyproject.org/use/cart/),"Tool Publishing, Tools"
ChemicalToolbox,https://cheminformatics.usegalaxy.eu/,"[For processing, analysing and visualising chemical data, and performing molecular simulations.](https://galaxyproject.org/use/chemicaltoolbox/)","Tool Publishing, Tools"
CIRM-CFBP,https://iris.angers.inra.fr/galaxypub-cfbp,"[Web based access to tools ( SkIf , KI-S ) of IRHS-EmerSys lab.](https://galaxyproject.org/use/cirm-cfbp/)","Tool Publishing, Tools"
Cistrome Analysis Pipeline,http://cistrome.org/ap/root,[ChIP-chip/seq and gene expression data](https://galaxyproject.org/use/cistrome-analysis-pipeline/),
Climate Science Workbench,https://climate.usegalaxy.eu/,[A comprehensive set of analysis tools and consolidated workflows for climate analysis and visualisation](https://galaxyproject.org/use/climate-science-workbench/),"Tool Publishing, Tools"
CLIP-Explorer,https://clipseq.usegalaxy.eu/,"[The CLIP-Explorer is a webserver to process, analyse and visualise CLIP-Seq data.](https://galaxyproject.org/use/clip-explorer/)",
Codon Harmonizer,http://codonharmonizer.systemsbiology.nl/,[Easily generate codon harmonized variants of gene sequences for heterologous expression](https://galaxyproject.org/use/codon-harmonizer/),
Coloc-stats,https://hyperbrowser.uio.no/coloc-stats,[a unified web interface to perform co-localization analysis of genomic features](https://galaxyproject.org/use/coloc-stats/),Genomics
CoralSNP,https://coralsnp.science.psu.edu/galaxy/,[Standard Tools for Acroporid Genotyping (STAG)](https://galaxyproject.org/use/coral-snp/),"Tool Publishing, Tools"
CorGAT,http://corgat.cloud.ba.infn.it/galaxy,"[Align complete assemblies of SARS-CoV-2 genomes wih the reference genomic sequence, to obtain a list of polymorphic positions and to annotate genetic variants.](https://galaxyproject.org/use/corgat/)",Genomics
CoSSci,http://socscicompute.ss.uci.edu/,[Tools for solving Galton's problem in Comparative Research and complex network problems in Social Science.](https://galaxyproject.org/use/cossci/),"Tool Publishing, Tools"
COVID-19,https://covid19.usegalaxy.eu/,[A companion to our study describing the analysis of early COVID-19 data](https://galaxyproject.org/use/covid-19/),
covid19.UseGalaxy.fr,https://covid19.usegalaxy.fr/,[Provides numerous workflows for COVID-19 analysis.](https://galaxyproject.org/use/covid-19-fr/),UseGalaxy
CropGalaxy,http://cropgalaxy.excellenceinbreeding.org/,"[Hosts tools for the RiceGalaxy , GOBii project , HTPG project and the Excellence in Breeding (EiB) platform , including genomic selection, marker selection, GWAS, imputation, file conversion, and cluster analysis.](https://galaxyproject.org/use/cropgalaxy/)","Genomics, Tool Publishing, Tools"
deepTS,https://deepts.nwafu.edu.cn/,"[Explore transcriptional switches from pairwise, temporal, and population RNA-Seq using deepTS.](https://galaxyproject.org/use/deepts/)",
Dintor,http://dintor.eurac.edu/,[GWA and NGS tools and modules for functional annotation of genes and gene products](https://galaxyproject.org/use/dintor/),"Tool Publishing, Tools"
epiGeEC,https://epigeec.genap.ca/galaxy/,[Compare user-provided epigenomic datasets with thousands of public datasets.](https://galaxyproject.org/use/epigeec/),Genomics
Erasmus MC,https://erasmusmc.usegalaxy.eu/,"[General purpose genomics analysis, featuring many standard tools plus many additional tools.](https://galaxyproject.org/use/erasmus-mc/)","Genomics, Tool Publishing, Tools"
FreeBioinfo,http://www.freebioinfo.org/,[Galaxy for metagenomic analysis.](https://galaxyproject.org/use/freebioinfo/),Genomics
GalaxEast,http://www.galaxeast.fr/,[Integrative 'omics data analysis](https://galaxyproject.org/use/galaxeast/),
Galaxy Africa,https://africa.usegalaxy.eu/,[Devoted to assisting researchers on the African continent accelerate their genomics research and analyses.](https://galaxyproject.org/use/galaxy-africa/),Genomics
Galaxy for Ecology,https://ecology.usegalaxy.eu/,"[A web platform to get, process, analyze and visualize ecological data](https://galaxyproject.org/use/ecology/)",
Galaxy Genome Annotation (GGA),https://annotation.usegalaxy.eu/,[Galaxy for genome annotation](https://galaxyproject.org/use/gga/),
Galaxy Imaging,https://imaging.usegalaxy.eu/,[Galaxy Docker repository for image analysis](https://galaxyproject.org/use/imaging/),
Galaxy India,https://india.usegalaxy.eu/,"[This is the Indian galaxy server, Welcome Home!](https://galaxyproject.org/use/galaxy-india/)",
Galaxy Integrated Omics (GIO),http://gio.sbcs.qmul.ac.uk/,"[Proteomics Informed by Transcriptomics (PIT) methodology, and selection of surrogate peptides for targeted proteomics.](https://galaxyproject.org/use/galaxy-integrated-omics-gio/)",
Galaxy Test,https://test.galaxyproject.org/,[Beta version of Galaxy Main](https://galaxyproject.org/use/galaxy-test/),
Galaxy-GSA,http://www.moralab.science:8080/,[Gene Set Analysis tools](https://galaxyproject.org/use/galaxy-gsa/),"Tool Publishing, Tools"
Galaxy-P,https://usegalaxyp.org/,"[Galaxy-P is a multiple 'omics' data analysis platform with particular emphasis on mass spectrometry-based proteomics. Galaxy-P is developed at the University of Minnesota , deployed at the Minnesota Supercomputing Institute .](https://galaxyproject.org/use/galaxy-p/)",
Galaxy-SynBioCAD,https://galaxy-synbiocad.org/,[Synthetic biology and metabolic engineering](https://galaxyproject.org/use/synbiocad/),
Galaxy@AuBi,https://galaxy.mesocentre.uca.fr/,[General purpose genomics analysis server.](https://galaxyproject.org/use/galaxy-aubi/),Genomics
Galaxy@Pasteur,https://galaxy.pasteur.fr/,[General purpose genomics analysis server.](https://galaxyproject.org/use/galaxy-pasteur/),Genomics
Galaxy@PRABI,http://galaxy.prabi.fr/,"[Includes bioinformatics tools developed by the research teams working in the perimeter of the PRABI core facility, including kissplice/kissDE, TETools, SEX-DETector, and priam .](https://galaxyproject.org/use/galaxy-prabi/)","Tool Publishing, Tools"
Galaxy@SLU,http://pharmacology.slu.edu/,"[Standard and custom-built bioinformatics tools with special focus on ChIP-Seq, RNA-Seq, single-cell RNA-Seq, Gene Expression and Cancer Genomics (e.g. TCGA).](https://galaxyproject.org/use/galaxy-slu/)","Genomics, Tool Publishing, Tools"
GalaxyTrakr,https://galaxytrakr.org/,[Supporting food-borne pathogen research](https://galaxyproject.org/use/galaxytrakr/),
GASLINI,http://igg.cloud.ba.infn.it/galaxy,"[Supports PIPE-T, a tool for Reverse transcription quantitative real-time polymerase chain reaction (RT-qPCR) analysis.](https://galaxyproject.org/use/gaslini/)","Tool Publishing, Tools"
GCAC : Galaxy for Compound Activity Classification,http://ccbb.jnu.ac.in/gcac,[GCAC is a web enabled platform for predictive model building using R and caret package for virtual screening.](https://galaxyproject.org/use/gcac/),
GeneLab,https://galaxy.genelab.nasa.gov/,"[NASA GeneLab is a comprehensive space-related omics database in which users can upload, download, share, store, and analyze spaceflight and corresponding model organism data.](https://galaxyproject.org/use/genelab/)",
Genomic Hyperbrowser,http://hyperbrowser.uio.no/hb/,[Statistical methodology and computing power to handle a variety of biological inquires on genomic datasets](https://galaxyproject.org/use/genomic-hyperbrowser/),Genomics
GigaGalaxy,http://gigagalaxy.net/,[GigaGalaxy hosts tools and data analyses from papers published in GigaScience .](https://galaxyproject.org/use/gigagalaxy/),"Tool Publishing, Tools"
GraphClust,https://graphclust.usegalaxy.eu/,[GraphClust2 is a workflow for scalable clustering of RNAs based on sequence and secondary structures feature. GraphClust2 is implemented within the Galaxy framework and consists a set of integrated Galaxy tools and flavors of the linear-time clustering workflow.](https://galaxyproject.org/use/graphclust/),"Tool Publishing, Tools"
GrAPPA,https://grappa.eecs.utk.edu/grappa/,"[GrAPPA is a web-based interface constructed on the Galaxy framework for graph theoretical tools. It contains novel combinatorial methods integrated into a complete microarray analysis toolchain, from uploading raw high-throughput data to visualization of results.](https://galaxyproject.org/use/grappa/)","Tool Publishing, Tools"
Halogen Bonding,http://134.2.17.68:8081/,[Visualize halogen bond contacts in the protein binding site. Analyze a protein binding site for halogen bonding hotspots. Evaluate halogen contacts with the protein backbone using the scoring function XBScore.](https://galaxyproject.org/use/halogen-bonding/),
Hardwood Genomics,https://www.hardwoodgenomics.org/content/tripal-galaxy-workflows,"[A simplified, workflow-centic interface to Galaxy, focused on genomics data from hardwood trees.](https://galaxyproject.org/use/hardwood-genomics/)",Genomics
HiCExplorer,https://hicexplorer.usegalaxy.eu/,[Tools to process and visualize chromosome conformation.](https://galaxyproject.org/use/hic-explorer/),"Tool Publishing, Tools"
Human Cell Atlas,https://humancellatlas.usegalaxy.eu/,[Tools and workflows for the analysis of Single Cell RNA-Seq data. It includes a module that connects to the Matrix Service API of the Human Cell Atlas ’s Data Coordination Platform that enables retrieval of gene expression matrices from any data sets in the Human Cell Atlas.](https://galaxyproject.org/use/human-cell-atlas/),"Tool Publishing, Tools"
Huttenhower Lab,http://huttenhower.sph.harvard.edu/galaxy/,"[metagenomic and functional genomic analyses, intended for research and academic use](https://galaxyproject.org/use/huttenhower-lab/)",Genomics
HyPhy HIV NGS Tools,https://galaxy.hyphy.org/,[Tools for HIV sequencing analysis.](https://galaxyproject.org/use/hyphy/),"Tool Publishing, Tools"
IBERS @ Aberystwyth,http://share-galaxy.ibers.aber.ac.uk/,"[Software, tools and pages written by IBERS researchers for release to the wider community.](https://galaxyproject.org/use/ibers-aberystwyth/)","Tool Publishing, Tools"
IDENAP,http://mem.rcees.ac.cn:8081/,[Inter-Domain Ecological Network Analysis Pipeline](https://galaxyproject.org/use/idenap/),Domain
ImmPort Galaxy,https://www.immportgalaxy.org/,[Flow Cytometry Analysis.](https://galaxyproject.org/use/immport-galaxy/),
immuneML,https://galaxy.immuneml.uio.no/,[Machine learning-based analysis and classification of adaptive immune receptors and repertoires (AIRR).](https://galaxyproject.org/use/immuneml/),
InteractoMIX,http://galaxy.interactomix.com/,[A one-stop resource offering a wide range of computational analyses from proteome-wide interactomes to structure of protein complexes](https://galaxyproject.org/use/interactomix/),
IPK Galaxy Blast Suite,https://galaxy-web.ipk-gatersleben.de/,[Part of the IPK Crop Analysis Tools Suite (CATS). Offers access to genomic references published by IPK and collaborative projects](https://galaxyproject.org/use/ipk-blast/),"Genomics, Tool Publishing, Tools"
Langille Lab,http://galaxy.morganlangille.com/,[Prediction of the unobserved character states in a community of organisms from phylogenetic information.](https://galaxyproject.org/use/langille-lab/),
LAPPS Grid,http://galaxy.lappsgrid.org/,"[An open, interoperable web service platform for natural language processing (NLP) research and development.](https://galaxyproject.org/use/lapps-grid/)",
Lebanese University Galaxy,http://galaxy.ul.edu.lb/,[Includes the SpCLUST tool set for fast and reliable clustering of potentially divergent biological sequences](https://galaxyproject.org/use/lebanese-university/),"Tool Publishing, Tools"
Lifeportal,https://lifeportal.uio.no/,[a Galaxy instance to satisfy the computational needs of the Norwegian research community in life sciences but also of any other user willing to use the service.](https://galaxyproject.org/use/lifeportal-oslo/),
LiSIs,http://lisis.cs.ucy.ac.cy/,[A platform for Virtual Screening.](https://galaxyproject.org/use/lisis/),
Machine Learning Workbench,https://ml.usegalaxy.eu/,"[A comprehensive set of data preprocessing, machine learning, deep learning and visualisation tools, consolidated workflows for end-to-end machine learning analysis and training materials to showcase the usage of these tools.](https://galaxyproject.org/use/ml-workbench/)","Tool Publishing, Tools"
Majewski Lab,http://genomequebec.mcgill.ca/exomeai,[Detection of recurrent Allelic Imbalance in tumors using whole Exome sequencing data.](https://galaxyproject.org/use/majewski-lab/),
Mandoiu Lab,https://neo.engr.uconn.edu/,[A customized installation of the Galaxy framework deploying bioinformatic tools and pipelines developed in the Mandoiu Lab at the University of Connecticut for high-throughput sequencing and immunogenomics data analysis](https://galaxyproject.org/use/mandoiu/),"Genomics, Tool Publishing, Tools"
MaREA4Galaxy,http://bimib.disco.unimib.it:5555/,[Metabolic Reaction Enrichment Analysis and visualization of RNA-seq data](https://galaxyproject.org/use/marea4galaxy/),
Martin Luther U. Halle-Wittenberg,http://galaxy.informatik.uni-halle.de/,"[Provides implementations of GeMoMa , InMoDe, CRISPRer, TALgetter, TALgetterLong, TALENoffer, and Dimont](https://galaxyproject.org/use/martin-luther-u-halle-wittenberg/)",
Metabolomics,https://metabolomics.usegalaxy.eu/,[A community driven metabolomics Galaxy service](https://galaxyproject.org/use/metabolomics/),
Metagenomics,https://metagenomics.usegalaxy.eu/,"[a webserver to process, analyse and visualize Metagenomic and Microbiota data in general.](https://galaxyproject.org/use/metagenomics/)",Genomics
Metaproteomics Gateway,http://z.umn.edu/metaproteomicsgateway,"[Metaproteomics gateway providing access to documentation and other instructional materials, and an opportunity for hands-on training using example datasets and optimized metaproteomics workflows](https://galaxyproject.org/use/metaproteomics-gateway/)",
Migale,http://galaxy.migale.inra.fr/,"[A general purpose genomics server with an emphasis on metagenomics, including FROGS and several Migale developed tools.](https://galaxyproject.org/use/migale/)","Genomics, Tool Publishing, Tools"
MiModD NacreousMap,http://mapping-by-sequencing.vm.uni-freiburg.de:8080/,[NacreousMap mapping/plotting tool of MiModD for users of MiModD who do not want to install the required dependencies (R and rpy2) for graphical output from this tool on their local system.](https://galaxyproject.org/use/mimodd-nacreousmap/),"Tool Publishing, Tools"
MISSISSIPPI,https://mississippi.sorbonne-universite.fr/,[Support for analyses of RNA and small RNA sequencing datasets as well as for epigenetics or metagenomics studies.](https://galaxyproject.org/use/mississippi/),Genomics
MitoLink,https://ab-openlab.csir.res.in/mitolink_v1,[MitoLink is an integrated workflow system to facilitate understanding of genotype-phenotype correlations in cases of mitochondrial dysfunction.](https://galaxyproject.org/use/mitolink/),
Molecular Property Diagnostic Suite - Tuberculosis (MPDSTB),http://mpds.osdd.net/,[A disease-specific web portal for Tuberculosis for drug discovery and development.](https://galaxyproject.org/use/mpdstb/),
NanoGalaxy,https://nanopore.usegalaxy.eu/,"[a webserver to process, analyse and visualize Oxford Nanopore Technologies (ONT) data and similar long-reads technologies.](https://galaxyproject.org/use/nanogalaxy/)",
NetworkAnalyst,https://galaxy.networkanalyst.ca/,[For mapping and quantification of raw RNA-seq data](https://galaxyproject.org/use/network-analyst/),
NG-Tax,https://ngtax.systemsbiology.nl/,[A Semantic Framework for High-throughput Marker Gene (Amplicon) Analysis](https://galaxyproject.org/use/ng-tax/),
NGPhylogeny.fr,https://ngphylogeny.fr/,[Robust phylogenetic analysis for everyone.](https://galaxyproject.org/use/ngphylogeny/),
Oqtans,http://galaxy.inf.ethz.ch/,"[Customized Galaxy, extended with machine learning based tools for sequence and tiling array data analysis.](https://galaxyproject.org/use/oqtans/)","Tool Publishing, Tools"
Orione,http://orione.crs4.it/,[A Galaxy based web server for microbiology. Orione includes all post mapping or assembling steps from scaffolding to complete annotation pipelines.](https://galaxyproject.org/use/orione/),
OSDDlinux LiveGalaxy,http://osddlinux.osdd.net:8001/,[Drug discovery](https://galaxyproject.org/use/osddlinux-livegalaxy/),
Palfinder,https://palfinder.ls.manchester.ac.uk/,[Microsatellite development.](https://galaxyproject.org/use/palfinder/),
PepSimili,http://pepsimili.e-nios.com:8080/,"[Integrated workflow tool for mapping of massive peptide repertoires on whole proteomes and delivering streamlined, systems-level biological interpretation.](https://galaxyproject.org/use/pepsimili/)","Tool Publishing, Tools"
PhagePromotor,https://galaxy.bio.di.uminho.pt/,"[Predict promoter sequences in phage genomes, using machine learning models.](https://galaxyproject.org/use/phagepromoter/)",
Plant Anaylsis Workbench,https://plants.usegalaxy.eu/,[A community driven plant data analsys Galaxy service](https://galaxyproject.org/use/plants/),
PlantGenIE,http://galaxy.plantgenie.org:8080/,[Plant Genome Integrative Explorer Galaxy instance](https://galaxyproject.org/use/plantgenie/),
PreSTIGE,http://prestige.case.edu/,[Predicting Specific Tissue Interactions of Genes and Enhancers](https://galaxyproject.org/use/prestige/),
Proteogenomics Gateway,http://z.umn.edu/proteogenomicsgateway,"[Provides access to documentation and other instructional materials, and an opportunity for hands-on training using example datasets and optimized proteogenomics workflows. The main goal of this server is to provide documentation to facilitate training and mastery of these software and workflows.](https://galaxyproject.org/use/proteogenomics-gateway/)",Genomics
ProteoRE,http://www.proteore.org/,[ProteoRE (Proteomics Research Environment)](https://galaxyproject.org/use/proteore/),
Protologger,http://protologger.de/,"[All-in-one genome description tool, aimed at simplifying gathering the data required for writing protologues. This includes providing taxonomic, functional and ecological insights.](https://galaxyproject.org/use/protologger/)","Tool Publishing, Tools"
RepeatExplorer,https://repeatexplorer-elixir.cerit-sc.cz/,"[Graph-based clustering and characterization of repetitive sequences, and detection of transposable element protein coding domains.](https://galaxyproject.org/use/repeatexplorer/)",Domain
RiboGalaxy,http://ribogalaxy.ucc.ie/,[Tools for the analysis and visualization of ribo-seq data obtained with the ribosome profiling technique.](https://galaxyproject.org/use/ribogalaxy/),"Tool Publishing, Tools"
Rice Galaxy,http://galaxy.irri.org/,"[Tools for designing single-nucleotide polymorphism assays, analyzing genome-wide association studies, population diversity, rice−bacterial pathogen diagnostics, and a suite of published genomic prediction methods.](https://galaxyproject.org/use/rice-galaxy/)","Genomics, Tool Publishing, Tools"
RNA Workbench,https://rna.usegalaxy.eu/,"[more than 50 bioinformatics tools dedicated to different research areas of RNA biology, including RNA structure analysis, RNA alignment, RNA annotation, RNA-protein interaction, ribosome profiling, RNA-Seq analysis, and RNA target prediction.](https://galaxyproject.org/use/rna-workbench/)","Tool Publishing, Tools"
Sciensano,https://galaxy.sciensano.be/policy/disclaimer.html,[Galaxy server for microbiological genomics applications with a focus on public health.](https://galaxyproject.org/use/sciensano/),Genomics
SHAMAN,https://shaman.pasteur.fr/,[A user-friendly website for metataxonomic analysis from raw reads to statistical analysis](https://galaxyproject.org/use/shaman/),
Single Cell Omics workbench,https://singlecell.usegalaxy.eu/,[The Single Cell Omics workbench is a comprehensive set of analysis tools and consolidated workflows](https://galaxyproject.org/use/singlecell/),"Tool Publishing, Tools"
Street Science,https://streetscience.usegalaxy.eu/,[a Galaxy dedicated for the Street Science Community](https://galaxyproject.org/use/streetscience/),
TGM,http://tgm-pipeline.uni.lu/galaxy/,"[The TGM pipeline is a workflow combining tranSMART server, Galaxy Server and MINERVA platform to enable visually-aided exploration, analysis and interpretation of high-throughput translational medicine data.](https://galaxyproject.org/use/tgm/)",
TreeGenes,https://treegenes.cam.uchc.edu/,"[TreeGenes integrates genotype, phenotype, and environmental data that can be processed for association mapping and landscape genomics, with a focus on forest trees. This functionality is provided by Tripal Galaxy , a module for Tripal that provides seamless support for running Galaxy workflows directly in the site. Users can analyze data provided by TreeGenes or their own.](https://galaxyproject.org/use/treegenes/)",Genomics
UseGalaxy.be,https://usegalaxy.be/,[General purpose genomics Galaxy server](https://galaxyproject.org/use/usegalaxy-be/),"Genomics, UseGalaxy"
UseGalaxy.cz,https://usegalaxy.cz/,[General purpose Galaxy server](https://galaxyproject.org/use/usegalaxy-cz/),UseGalaxy
UseGalaxy.eu,https://usegalaxy.eu/,[The free public European Galaxy server](https://galaxyproject.org/use/usegalaxy-eu/),UseGalaxy
UseGalaxy.fr,https://usegalaxy.fr/,[General purpose genomics Galaxy server](https://galaxyproject.org/use/usegalaxy-fr/),"Genomics, UseGalaxy"
UseGalaxy.no,https://usegalaxy.no/,"[A central, joint & free Galaxy instance for Norway-based researchers and their collaborators, with ~2000 bioinformatics tools, 200GB short-term storage and project storage on nels.bioinfo.no.](https://galaxyproject.org/use/usegalaxy-no/)","Tool Publishing, Tools, UseGalaxy"
UseGalaxy.org (Main),https://usegalaxy.org/,[The Galaxy Project free public server; biomedical research](https://galaxyproject.org/use/usegalaxy-org/),UseGalaxy
UseGalaxy.org.au,https://usegalaxy.org.au/,[The Australian UseGalaxy server.](https://galaxyproject.org/use/usegalaxy-au/),UseGalaxy
USMI Galaxy Demonstrator,http://bioinformatics.hsanmartino.it:8080/,[This Galaxy implementation is meant to demonstrate integration of microbial domain Biological Resource Center (mBRC) catalogues into the bioinformatics data integration environment.](https://galaxyproject.org/use/usmi-galaxy-demonstrator/),Domain
Vinther Lab,http://galaxy.bio.ku.dk/,[RNA structure-probing data analysis to improve the prediction of RNA secondary and tertiary structure and allow structural changes to be identified and investigated.](https://galaxyproject.org/use/vinther-lab/),
VINYL (Variant prIoritizatioN bY survivaL analysis),http://www.beaconlab.it/VINYL,[A flexible and fully automated system for the functional annotation and prioritization of genetic variants.](https://galaxyproject.org/use/vinyl/),
Viral Variant Visualizer (VVV),https://viralvariant.anses.fr/,[Determine the composition of a viral population](https://galaxyproject.org/use/vvv/),
VirAmp,http://viramp.com/,[VirAmp is a web-based semi- de novo fast virus genome assembly pipeline designed for extremely high coverage NGS data.](https://galaxyproject.org/use/viramp/),
Virology,https://virology.usegalaxy.eu/,"[A comprehensive set of analysis tools and consolidated workflows for virology work, including SARS-CoV-2.](https://galaxyproject.org/use/virology/)","Tool Publishing, Tools"
Workflow4Metabolomics,https://workflow4metabolomics.usegalaxy.fr/,"[A collaborative portal dedicated to metabolomics data processing, analysis and annotation.](https://galaxyproject.org/use/workflow4metabolomics/)",
wQAP,http://life2cloud.com:6005/,"[QAP is an open source software that can be used to analyze virus quasispecies using CBS, NGS and TGS data. wQAP (web QAP), is the online version of QAP.](https://galaxyproject.org/use/wqap/)",
AnVIL,https://anvilproject.org/,[Genomics](https://galaxyproject.org/use/anvil/),Genomics
CLIMB,http://www.climb.ac.uk/,[Genomics](https://galaxyproject.org/use/climb/),Genomics
Globus Genomics,http://globusgenomics.org/,[Genomics](https://galaxyproject.org/use/globus-genomics/),Genomics
Laniakea,https://laniakea-dashboard.cloud.ba.infn.it/login,[Genomics](https://galaxyproject.org/use/laniakea/),Genomics
Nectar Cloud,https://nectar.org.au/research-cloud/,[Genomics](https://galaxyproject.org/use/nectar/),Genomics
PhenoMeNal,https://portal.phenomenal-h2020.eu/cloud-research-environment-setup,[Domain](https://galaxyproject.org/use/phenomenal/),Domain
SNIC Science Cloud (SSC),https://cloud.snic.se/,[Genomics](https://galaxyproject.org/use/snic-science-cloud/),Genomics
SURF Research Cloud,https://www.surf.nl/en/services/compute/surf-research-cloud,[Genomics](https://galaxyproject.org/use/surf/),Genomics
Terra,https://terra.bio/,[Genomics](https://galaxyproject.org/use/terra/),Genomics
VEuPathDB Galaxy,https://veupathdb.org/veupathdb/app/galaxy-orientation,[Domain](https://galaxyproject.org/use/veupathdb/),Domain
